query,dataset,library,time,memory,outputs,throughput,fot
\n!x{[^\n]* PREFIX [^\n]* SELECT [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,1.05,154566656.0,35530.0,72529564.76190476,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,1.01,154566656.0,36636.0,75403117.82178217,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]*}\n,sparql,RE2,1.02,154451968.0,35525.0,74662782.35294117,0.0
\n!x{[^\n]* SELECT [^\n]*\n[^\n]* SELECT [^\n]*}\n,sparql,RE2,0.91,154402816.0,35114.0,83687502.1978022,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.87,154255360.0,38886.0,87539539.08045977,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]*}\n,sparql,RE2,1.02,154451968.0,35114.0,74662379.41176471,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.15,154501120.0,35114.0,66222284.34782609,0.0
\n!x{[^\n]* SELECT [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.01,154550272.0,35114.0,75401610.89108911,0.0
\n!x{[^\n]* PREFIX [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.92,154484736.0,35538.0,82778316.30434783,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.0,154337280.0,36630.0,76157143.0,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.15,154599424.0,35525.0,66222641.73913044,0.0
\n!x{[^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,1.02,154419200.0,35530.0,74662787.25490196,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* DISTINCT [^\n]*}\n,sparql,RE2,0.86,154370048.0,35444.0,88553438.37209302,0.0
\n!x{[^\n]* DISTINCT [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.89,154370048.0,35444.0,85568491.01123595,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]*}\n,sparql,RE2,0.98,154681344.0,35444.0,77710160.20408164,0.0
\n!x{[^\n]* PREFIX [^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,1.16,154550272.0,35530.0,65651761.20689656,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.0,154468352.0,35525.0,76156038.0,0.0
\n!x{[^\n]* SELECT [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.89,154370048.0,36636.0,85569830.33707865,0.0
